names.geno	Entry	Lines	stp2012	stp2012.sev	stp2012.it	stp2012.coi	crk2012	crk2012.sev	crk2012.it	crk2012.coi	stp2013	stp2013.sev	stp2013.it	stp2013.coi	stp2014	stp2014.sev	stp2014.it	stp2014.coi	stp2015	stp2015.sev	stp2015.it	stp2015.coi	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
MCKENZIE	McKenzie		TR	2.00	0.20	0.40	5MS	5.00	0.80	4.00	10 R	10.00	0.20	2.00	5R	5.00	0.20	1.00	10MRMS	10.00	0.53	5.30	;	;	;2	4	4	4
CHINESE_SPRING	Chinese Spring		-	NA	NA	NA	20S	20.00	1.00	20.00	-	NA	NA	NA	-Missing	NA	NA	NA	-	NA	NA	NA	3+	3+	3+	-	-	-
SUMAI3	Sumai 3		10MRMS	10.00	0.53	5.30	10MRMS	10.00	0.53	5.30	-	NA	NA	NA	-Missing	NA	NA	NA	60MS	60.00	0.80	48.00	3+	3+	-	-	7	7
WUHAN_3	Wuhan 3		40MRMS	40.00	0.53	21.20	10MS	10.00	0.80	8.00	-	NA	NA	NA	-Missing	NA	NA	NA	60MS	60.00	0.80	48.00	0;	3+	3+	-	12	12
FUIJAN5114-3	Fuijan 5114-3		5R	5.00	0.20	1.00	5MS	5.00	0.80	4.00	10 RMR	10.00	0.27	2.70	-	NA	NA	NA	30MRMS	30.00	0.53	15.90	;1	;1	3+;1	-	5	5
NING7840	Ning 7840		TR	2.00	0.20	0.40	5MS	5.00	0.80	4.00	TR	2.00	0.20	0.40	-Missing	NA	NA	NA	5R	5.00	0.20	1.00	;2	;1	;3	20	15	17.5
CHRIS	Chris		30MRMS	30.00	0.53	15.90	5MR	5.00	0.40	2.00	20 MRMS	20.00	0.53	10.60	-	NA	NA	NA	30MRMS	30.00	0.53	15.90	3+	;2+	3+	-	6	6
WHEATON	Wheaton		-	NA	NA	NA	5MS	5.00	0.80	4.00	20 MRMS	20.00	0.53	10.60	30MRMS	30.00	0.53	15.90	20MRMS	20.00	0.53	10.60	;	-	0	4	5	4.5
ULEN	Ulen		5MR	5.00	0.40	2.00	TR	2.00	0.20	0.40	10 R	10.00	0.20	2.00	10RMR	10.00	0.27	2.70	5MRMS	5.00	0.53	2.65	;22+	;	3+;	4	5	4.5
NORM	Norm		5RMR	5.00	0.27	1.35	TR	2.00	0.20	0.40	10 RMR	10.00	0.27	2.70	30MRMS	30.00	0.53	15.90	10RMR	10.00	0.27	2.70	0;	0;	2+;	4	5	4.5
KNUDSON	Knudson		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10 RMR	10.00	0.27	2.70	10RMR	10.00	0.27	2.70	5R	5.00	0.20	1.00	0;	0;	;	4	6	5
GLENN	Glenn		5MR	5.00	0.40	2.00	10MRMS	10.00	0.53	5.30	10 RMR	10.00	0.27	2.70	40MSS	40.00	0.87	34.80	20MS	20.00	0.80	16.00	0;	0;	3	6	4	5
OKLEE	Oklee		10RMR	10.00	0.27	2.70	5MR	5.00	0.40	2.00	30 MRMS	30.00	0.53	15.90	50MRMS	50.00	0.53	26.50	20RMR	20.00	0.27	5.40	3+	0;	;2	4	4	4
LEE	Lee		5MR	5.00	0.40	2.00	10MS	10.00	0.80	8.00	30 MRMS	30.00	0.53	15.90	30MRMS	30.00	0.53	15.90	60S	60.00	1.00	60.00	;	;12	3+	2	4	3
FALLER	Faller		5MR	5.00	0.40	2.00	10S	10.00	1.00	10.00	40 MSS	40.00	0.87	34.80	30S	30.00	1.00	30.00	50S	50.00	1.00	50.00	0	;	3+	4	4	4
RB07	RBO7		TR	2.00	0.20	0.40	5MRMS	5.00	0.53	2.65	10 RMR	10.00	0.27	2.70	5R	5.00	0.20	1.00	5R	5.00	0.20	1.00	;	;	;23+	2	4	3
BRIGGS	Briggs		TR	2.00	0.20	0.40	5MS	5.00	0.80	4.00	10 RMR	10.00	0.27	2.70	5R	5.00	0.20	1.00	10MRMS	10.00	0.53	5.30	0;	-	0;1	2	4	3
ADA	Ada		TR	2.00	0.20	0.40	5MS	5.00	0.80	4.00	20 MRMS	20.00	0.53	10.60	-	NA	NA	NA	10MS	10.00	0.80	8.00	-	;1	3+;	-	4	4
